PeakID (cmd=TPR1eds1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-648	Chr5	8934752	8935042	+	11,7879	NA	TTS (AT5G25620.1)	TTS (AT5G25620.1)	3769	AT5G25620	832638	At.28557	NM_001203470		YUC6	T14C9.160|T14C9_160|YUCCA6	flavin-containing monooxygenase-like protein	protein-coding
R-649	Chr5	308804	309158	+	11,7879	NA	promoter-TSS (AT5G01810.2)	promoter-TSS (AT5G01810.2)	-453	AT5G01810	830556	At.20284	NM_001036743		CIPK15	ATPK10|CBL-interacting protein kinase 15|PKS3|PROTEIN KINASE 10|SERINE/THREONINE PROTEIN KINASE 10|SIP2|SMALL AND BASIC INTRINSIC PROTEIN 2|SNF1-RELATED PROTEIN KINASE 3.1|SNRK3.1|SOS3-INTERACTING PROTEIN 2|T20L15.80|T20L15_80	CBL-interacting serine/threonine-protein kinase 15	protein-coding
R-65	Chr2	14745853	14746213	+	35,0362	NA	promoter-TSS (AT2G34970.1)	promoter-TSS (AT2G34970.1)	-72	AT2G34960	818060	At.37736	NM_129048		CAT5	F19I3.19|F19I3_19|cationic amino acid transporter 5	cationic amino acid transporter 5	protein-coding
R-650	Chr3	14196821	14196972	+	11,7879	NA	promoter-TSS (AT3G41768.1)	promoter-TSS (AT3G41768.1)	-293	AT3G41762	10723081		NM_001203076		AT3G41762	-	hypothetical protein	protein-coding
R-651	Chr3	10439765	10439984	+	11,7879	NA	Intergenic	Intergenic	-2940	AT3G28050	822429	At.67836	NM_113723		AT3G28050	-	EamA domain-containing protein	protein-coding
R-652	Chr3	6190265	6190858	+	11,7879	NA	promoter-TSS (AT3G18080.1)	promoter-TSS (AT3G18080.1)	-996	AT3G18080	821333	At.21649	NM_112690		BGLU44	B-S glucosidase 44	beta-glucosidase 44	protein-coding
R-653	Chr3	5620667	5620850	+	11,7879	NA	promoter-TSS (AT3G16520.1)	promoter-TSS (AT3G16520.1)	96	AT3G16520	820900	At.75649	NM_112523		UGT88A1	UDP-glucosyl transferase 88A1	UDP-glucosyl transferase 88A1	protein-coding
R-656	Chr1	29638482	29638768	+	11,6787	NA	promoter-TSS (AT1G78830.1)	promoter-TSS (AT1G78830.1)	-73	AT1G78830	844220	At.23087	NM_106531		AT1G78830	F9K20.12|F9K20_12	curculin-like (mannose-binding) lectin-like protein	protein-coding
R-657	Chr1	368252	368613	+	11,6787	NA	Intergenic	Intergenic	2535	AT1G02070	839270	At.42619	NM_100087		AT1G02070	T7I23.30|T7I23_30	hypothetical protein	protein-coding
R-659	Chr5	20083575	20084082	+	11,6787	NA	TTS (AT5G49510.2)	TTS (AT5G49510.2)	3214	AT5G49510	835011	At.9655	NM_001036968		PFD3	K6M13.5|K6M13_5|prefoldin 3	putative prefoldin subunit 3	protein-coding
R-66	Chr5	26571888	26572797	+	34,7087	NA	promoter-TSS (AT5G66580.1)	promoter-TSS (AT5G66580.1)	-289	AT5G66580	836790	At.74293	NM_126056		AT5G66580	K1F13.26|K1F13_26	hypothetical protein	protein-coding
R-660	Chr5	20014512	20015081	+	11,6787	NA	intron (AT5G49360.1, intron 2 of 5)	intron (AT5G49360.1, intron 2 of 5)	1946	AT5G49360	834996	At.47570	NM_124313		BXL1	ATBXL1|BETA-XYLOSIDASE 1|K7J8.3|K7J8_3|beta-xylosidase 1	beta-xylosidase 1	protein-coding
R-662	Chr5	3131803	3132124	+	11,6787	NA	TTS (AT5G10010.1)	TTS (AT5G10010.1)	-1298	AT5G10020	830865	At.1618	NM_001085093		AT5G10020	T31P16.10|T31P16_10	putative inactive receptor kinase	protein-coding
R-664	Chr4	10071392	10071707	+	11,6787	NA	promoter-TSS (AT4G18197.1)	promoter-TSS (AT4G18197.1)	-85	AT4G18197	3770303	At.63296	NM_001036586		PUP7	ARABIDOPSIS THALIANA PURINE PERMEASE 7|AT4G18200|ATPUP7|PEROXIN 17|PEX17|purine permease 7	purine permease 7	protein-coding
R-666	Chr3	10938342	10938695	+	11,6787	NA	Intergenic	Intergenic	3315	AT3G28920	822527	At.74192	NM_113813		HB34	AtHB34|homeobox protein 34	homeobox protein 34	protein-coding
R-668	Chr2	544416	544537	+	11,6787	NA	promoter-TSS (AT2G02140.1)	promoter-TSS (AT2G02140.1)	-231	AT2G02140	814745	At.41516	NM_126274		LCR72	F5O4.9|F5O4_9|PDF2.6|low-molecular-weight cysteine-rich 72	defensin-like protein 10	protein-coding
R-669	Chr1	24357360	24357602	+	11,5696	NA	promoter-TSS (AT1G65500.1)	promoter-TSS (AT1G65500.1)	-386	AT1G65500	842862	At.35878	NM_105224		AT1G65500	F5I14.4|F5I14_4	hypothetical protein	protein-coding
R-67	Chr4	12572806	12573782	+	34,5996	NA	exon (AT4G24240.1, exon 3 of 3)	exon (AT4G24240.1, exon 3 of 3)	1528	AT4G24240	828525	At.20946	NM_118557		WRKY7	ATWRKY7|T22A6.70|T22A6_70|WRKY DNA-binding protein 7	putative WRKY transcription factor 7	protein-coding
R-671	Chr1	4760221	4760660	+	11,5696	NA	promoter-TSS (AT1G13930.1)	promoter-TSS (AT1G13930.1)	-572	AT1G13930	837953	At.67684	NM_001198060		AT1G13930	F16A14.14	hypothetical protein	protein-coding
R-673	Chr5	24436649	24437421	+	11,5696	NA	Intergenic	Intergenic	-1236	AT5G60760	836197	At.29145	NM_125469		AT5G60760	MAE1.1|MAE1_1	2-phosphoglycerate kinase-related protein	protein-coding
R-674	Chr3	16817395	16817760	+	11,5696	NA	promoter-TSS (AT3G45780.2)	promoter-TSS (AT3G45780.2)	711	AT3G45780	823721	At.67829	NM_001035737		PHOT1	F16L2.3|JK224|NONPHOTOTROPIC HYPOCOTYL 1|NPH1|PHOTOTROPIN|ROOT PHOTOTROPISM 1|RPT1|phototropin 1	non-specific serine/threonine protein kinase	protein-coding
R-675	Chr3	6716593	6717057	+	11,5696	NA	promoter-TSS (AT3G19380.1)	promoter-TSS (AT3G19380.1)	-726	AT3G19380	821472	At.5707	NM_112825		PUB25	plant U-box 25	U-box domain-containing protein 25	protein-coding
R-676	Chr2	9844067	9844442	+	11,5696	NA	promoter-TSS (AT2G23130.2)	promoter-TSS (AT2G23130.2)	-45	AT2G23130	816845	At.12325	NM_127877		AGP17	ARABINOGALACTAN PROTEIN 17|ATAGP17|T20D16.24|arabinogalactan protein 17	Lysine-rich arabinogalactan protein 17	protein-coding
R-677	Chr1	29278475	29278623	+	11,4604	NA	promoter-TSS (AT1G77855.1)	promoter-TSS (AT1G77855.1)	-31	AT1G77855	844121	At.50663	NM_148664		AT1G77855	-	hypothetical protein	protein-coding
R-678	Chr5	26645041	26645406	+	11,4604	NA	promoter-TSS (AT5G66730.1)	promoter-TSS (AT5G66730.1)	-821	AT5G66730	836806	At.27643	NM_126071		AT5G66730	MSN2.12|MSN2_12	C2H2-like zinc finger protein	protein-coding
R-679	Chr5	16739678	16740330	+	11,4604	NA	promoter-TSS (AT5G41820.1)	promoter-TSS (AT5G41820.1)	-800	AT5G41820	834187	At.55309	NM_123547		RGTA2	ATRGTA2|K16L22.10|K16L22_10|RAB geranylgeranyl transferase alpha subunit 2	RAB geranylgeranyl transferase alpha subunit 2	protein-coding
R-68	Chr5	3509208	3509983	+	34,3813	NA	promoter-TSS (AT5G11060.1)	promoter-TSS (AT5G11060.1)	-523	AT5G11060	830973	At.5377	NM_121144		KNAT4	KNOTTED1-like homeobox gene 4|T5K6.50|T5K6_50	homeobox protein knotted-1-like 4	protein-coding
R-680	Chr5	7230457	7231101	+	11,4604	NA	TTS (AT5G21482.1)	TTS (AT5G21482.1)	4052	AT5G21482	832248	At.16886	NM_180532		CKX7	ARABIDOPSIS THALIANA CYTOKININ OXIDASE 5|ATCKX5|cytokinin oxidase 7	cytokinin dehydrogenase 7	protein-coding
R-681	Chr4	13393300	13393908	+	11,4604	NA	TTS (AT4G26530.2)	TTS (AT4G26530.2)	-1889	AT4G26542	10723129				AT4G26542	-	ncRNA	ncRNA
R-682	Chr4	12074603	12074980	+	11,4604	NA	TTS (AT4G23030.1)	TTS (AT4G23030.1)	1934	AT4G23030	828402	At.32474	NM_118432		AT4G23030	F7H19.220|F7H19_220	mate efflux domain-containing protein	protein-coding
R-683	Chr4	7377034	7377181	+	11,4604	NA	intron (AT4G12440.2, intron 2 of 5)	intron (AT4G12440.2, intron 2 of 5)	839	AT4G12440	826856	At.33474	NM_117314		APT4	T1P17.30|T1P17_30|adenine phosphoribosyl transferase 4	adenine phosphoribosyl transferase 4	protein-coding
R-684	Chr4	299042	299351	+	11,4604	NA	TTS (AT4G00730.2)	TTS (AT4G00730.2)	-1882	AT4G00720	828023	At.24189	NM_116297		SK32	ASKTHETA|ATSK32|F6N23.11|F6N23_11|SHAGGY-LIKE PROTEIN KINASE THETA|shaggy-like protein kinase 32	Shaggy-related protein kinase theta	protein-coding
R-685	Chr4	56203	56580	+	11,4604	NA	TTS (AT4G00150.1)	TTS (AT4G00150.1)	2895	AT4G00150	828208	At.67226	NM_116232		HAM3	ARABIDOPSIS THALIANA HAIRY MERISTEM 3|ATHAM3|F6N15.20|F6N15_20|HAIRY MERISTEM 3	scarecrow-like protein 6	protein-coding
R-686	Chr3	22553146	22553727	+	11,4604	NA	TTS (AT3G60961.1)	TTS (AT3G60961.1)	816	AT3G60966	3769752	At.73258	NM_001035830		AT3G60966	-	protein binding / zinc ion binding protein	protein-coding
R-687	Chr2	17473054	17473338	+	11,4604	NA	promoter-TSS (AT2G41870.1)	promoter-TSS (AT2G41870.1)	-260	AT2G41870	818787	At.14701	NM_129751		AT2G41870	-	remorin-like protein	protein-coding
R-688	Chr2	10483088	10483228	+	11,4604	NA	promoter-TSS (AT2G24645.1)	promoter-TSS (AT2G24645.1)	-363	AT2G24645	10723071	At.75301	NM_001202665		AT2G24645	-	Transcriptional factor B3 family protein	protein-coding
R-689	Chr5	6791714	6792348	+	11,3513	NA	intron (AT5G20110.1, intron 1 of 1)	intron (AT5G20110.1, intron 1 of 1)	1315	AT5G20110	832133	At.43600	NM_122018		AT5G20110	F28I16.260|F28I16_260	dynein light chain type 1-like protein	protein-coding
R-690	Chr5	4275535	4276046	+	11,3513	NA	Intergenic	Intergenic	3656	AT5G13340	831175	At.54834	NM_121337		AT5G13340	T22N19.3	hypothetical protein	protein-coding
R-693	Chr2	17885843	17886593	+	11,3513	NA	promoter-TSS (AT2G43010.2)	promoter-TSS (AT2G43010.2)	-209	AT2G43010	818903	At.19015	NM_129862		PIF4	MFL8.13|MFL8_13|SRL2|phytochrome interacting factor 4	transcription factor PIF4	protein-coding
R-694	Chr2	177862	178170	+	11,3513	NA	Intergenic	Intergenic	-1609	AT2G01410	814669	At.75648	NM_126202		AT2G01410	F10A8.30	NHL domain-containing protein	protein-coding
R-695	Chr1	28547604	28547897	+	11,2421	NA	TTS (AT1G76070.1)	TTS (AT1G76070.1)	1368	AT1G76070	843939	At.34705	NM_106256		AT1G76070	T23E18.1|T23E18_1	hypothetical protein	protein-coding
R-697	Chr1	4229240	4229400	+	11,2421	NA	promoter-TSS (AT1G12420.1)	promoter-TSS (AT1G12420.1)	-182	AT1G12420	837798	At.42075	NM_101114		ACR8	ACT domain repeat 8|F5O11.14|F5O11_14	ACT domain repeat 8 protein	protein-coding
R-7	Chr5	21140440	21140657	+	97,9048	NA	TTS (AT5G52050.1)	TTS (AT5G52050.1)	1686	AT5G52050	835280	At.29643	NM_124584		AT5G52050	MSG15.13|MSG15_13	mate efflux domain-containing protein	protein-coding
R-700	Chr5	5006835	5007278	+	11,2421	NA	promoter-TSS (AT5G15410.2)	promoter-TSS (AT5G15410.2)	-174	AT5G15410	831393	At.74751	NM_121545		DND1	ATCNGC2|CNGC2|CYCLIC NUCLEOTIDE GATED CHANNEL 2|CYCLIC NUCLEOTIDE-GATED CHANNEL 2|DEFENSE NO DEATH 1	cyclic nucleotide-gated ion channel 2	protein-coding
R-701	Chr4	9253769	9254042	+	11,2421	NA	promoter-TSS (AT4G16380.1)	promoter-TSS (AT4G16380.1)	-650	AT4G16380	2745712	At.24999	NM_001125518		AT4G16380	-	metal ion binding protein	protein-coding
R-702	Chr3	22231508	22232023	+	11,2421	NA	promoter-TSS (AT3G60170.1)	promoter-TSS (AT3G60170.1)	-747	AT3G60170	3769745				AT3G60170	F27H5.6	pseudo	pseudo
R-703	Chr3	21304925	21305300	+	11,2421	NA	Intergenic	Intergenic	-1611	AT3G57550	824922	At.717	NM_001035800		AGK2	GK-2|GUANYLATE KINAS|GUANYLATE KINAS 2|guanylate kinase	guanylate kinase	protein-coding
R-705	Chr1	28338306	28338486	+	11,133	NA	exon (AT1G75500.2, exon 6 of 7)	exon (AT1G75500.2, exon 6 of 7)	1845	AT1G75500	843886	At.67310	NM_001198474		WAT1	F1B16.19|Walls Are Thin 1	protein walls are thin 1	protein-coding
R-707	Chr1	11226141	11226773	+	11,133	NA	Intergenic	Intergenic	-2531	AT1G31355	3766869				AT1G31355	T19E23.15	pseudo	pseudo
R-709	Chr1	183312	183601	+	11,133	NA	Intergenic	Intergenic	-1098	AT1G01490	839440	At.27454	NM_001035851		AT1G01490	F22L4.5|F22L4_5	heavy-metal-associated domain-containing protein	protein-coding
R-71	Chr3	5645884	5646552	+	32,9624	NA	TTS (AT3G16570.1)	TTS (AT3G16570.1)	1520	AT3G16570	820907	At.24650	NM_112530		RALF23	ARABIDOPSIS RAPID ALKALINIZATION FACTOR 23|ATRALF23|rapid alkalinization factor 23	rapid alkalinization factor 23	protein-coding
R-711	Chr5	24533016	24533544	+	11,133	NA	Intergenic	Intergenic	1613	AT5G60966	3771545				AT5G60966	67897.TRNA-THR-1	tRNA	tRNA
R-712	Chr5	15217251	15217861	+	11,133	NA	TTS (AT5G38130.1)	TTS (AT5G38130.1)	1816	AT5G38130	833793	At.74245	NM_123173		AT5G38130	MXA21.5|MXA21_5	HXXXD-type acyl-transferase-like protein	protein-coding
R-713	Chr5	5236518	5237003	+	11,133	NA	Intergenic	Intergenic	-1418	AT5G16030	831460	At.49027	NM_001036812		AT5G16030	F1N13.170|F1N13_170	hypothetical protein	protein-coding
R-714	Chr4	17774239	17774863	+	11,133	NA	TTS (AT4G37800.1)	TTS (AT4G37800.1)	2846	AT4G37800	829936	At.42942	NM_119942		XTH7	T28I19.80|T28I19_80|xyloglucan endotransglucosylase/hydrolase 7	xyloglucan:xyloglucosyl transferase	protein-coding
R-716	Chr4	17332114	17332278	+	11,133	NA	promoter-TSS (AT4G36770.1)	promoter-TSS (AT4G36770.1)	-572	AT4G36770	829830	At.74896	NM_119841		AT4G36770	AP22.28|AP22_28	UDP-glycosyltransferase-like protein	protein-coding
R-717	Chr4	14364033	14364501	+	11,133	NA	Intergenic	Intergenic	-4652	AT4G29140	829035	At.75271	NM_119058		AT4G29140	F19B15.170|F19B15_170	mate efflux domain-containing protein	protein-coding
R-718	Chr4	9609691	9610320	+	11,133	NA	TTS (AT4G17100.1)	TTS (AT4G17100.1)	1373	AT4G17098	5008147				AT4G17098	-	ncRNA	ncRNA
R-72	Chr2	15228256	15229012	+	32,7441	NA	promoter-TSS (AT2G36320.1)	promoter-TSS (AT2G36320.1)	-154	AT2G36320	818205	At.73144	NM_129189		AT2G36320	F2H17.7|F2H17_7	zinc finger A20 and AN1 domain-containing stress-associated protein 4	protein-coding
R-721	Chr3	6435535	6436017	+	11,133	NA	promoter-TSS (AT3G18710.1)	promoter-TSS (AT3G18710.1)	-215	AT3G18710	821402	At.38506	NM_112757		PUB29	ARABIDOPSIS THALIANA PLANT U-BOX 29|ATPUB29|plant U-box 29	U-box domain-containing protein 29	protein-coding
R-722	Chr3	5187608	5187724	+	11,133	NA	promoter-TSS (AT3G15360.1)	promoter-TSS (AT3G15360.1)	550	AT3G15357	820774	At.39059	NM_112403		AT3G15357	-	hypothetical protein	protein-coding
R-723	Chr3	1833865	1834112	+	11,133	NA	TTS (AT3G06080.1)	TTS (AT3G06080.1)	-2065	AT3G06070	819780	At.40573	NM_111482		AT3G06070	F24F17.5|F24F17_5	hypothetical protein	protein-coding
R-724	Chr2	15139517	15139958	+	11,133	NA	TTS (AT2G36053.1)	TTS (AT2G36053.1)	741	AT2G36053	6240834	At.73732	NM_001124978		AT2G36053	-	hypothetical protein	protein-coding
R-725	Chr2	15138039	15138573	+	11,133	NA	promoter-TSS (AT2G36053.1)	promoter-TSS (AT2G36053.1)	-690	AT2G36053	6240834	At.73732	NM_001124978		AT2G36053	-	hypothetical protein	protein-coding
R-728	Chr1	4188313	4188642	+	11,0238	NA	promoter-TSS (AT1G12320.1)	promoter-TSS (AT1G12320.1)	-421	AT1G12310	837785	At.20071	NM_101103		AT1G12310	F5O11.35|F5O11_35	putative calcium-binding protein CML13	protein-coding
R-729	Chr5	8731985	8732488	+	11,0238	NA	Intergenic	Intergenic	-3838	AT5G25220	832593	At.5376	NM_001036861		KNAT3	F21J6.18|F21J6_18|KNAT3 HOMEOBOX PROTEIN|KNOTTED1-like homeobox gene 3	homeobox protein knotted-1-like 3	protein-coding
R-73	Chr1	29765437	29767161	+	32,5258	NA	intron (AT1G79120.1, intron 2 of 2)	intron (AT1G79120.1, intron 2 of 2)	2490	AT1G79120	844253	At.50886	NM_106563		AT1G79120	YUP8H12R.26|YUP8H12R_26	ubiquitin carboxyl-terminal hydrolase-like protein	protein-coding
R-731	Chr5	2132118	2132627	+	11,0238	NA	promoter-TSS (AT5G06860.1)	promoter-TSS (AT5G06860.1)	22	AT5G06860	830577	At.75235	NM_120769		PGIP1	ATPGIP1|MOJ9.3|MOJ9_3|POLYGALACTURONASE INHIBITING PROTEIN 1|polygalacturonase inhibiting protein 1	Polygalacturonase inhibitor 1	protein-coding
R-732	Chr5	266345	266743	+	11,0238	NA	promoter-TSS (AT5G01712.1)	promoter-TSS (AT5G01712.1)	-641	AT5G01715	3770700				AT5G01715	-	pseudo	pseudo
R-733	Chr4	18128185	18128947	+	11,0238	NA	Intergenic	Intergenic	-1702	AT4G38860	830041	At.31140	NM_120046		AT4G38860	F19H22.1	SAUR-like auxin-responsive protein	protein-coding
R-734	Chr4	9443993	9444408	+	11,0238	NA	Intergenic	Intergenic	-4914	AT4G16780	827384	At.74809	NM_117780		HB-2	ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 2|ATHB-2|ATHB2|DL4415W|FCAALL.101|HAT4|homeobox protein 2	homeobox-leucine zipper protein HAT4	protein-coding
R-735	Chr3	20474645	20474882	+	11,0238	NA	promoter-TSS (AT3G55240.1)	promoter-TSS (AT3G55240.1)	0	AT3G55240	824690	At.35039	NM_115382		AT3G55240	-	hypothetical protein	protein-coding
R-736	Chr3	16599116	16599420	+	11,0238	NA	promoter-TSS (AT3G45260.1)	promoter-TSS (AT3G45260.1)	-570	AT3G45260	823664	At.22283	NM_114395		AT3G45260	-	C2H2-like zinc finger protein	protein-coding
R-737	Chr2	12107178	12107669	+	11,0238	NA	Intergenic	Intergenic	3751	AT2G28340	817381	At.52951	NM_128393		GATA13	GATA transcription factor 13|T1B3.14|T1B3_14	putative GATA transcription factor 13	protein-coding
R-738	Chr1	25657558	25658002	+	10,9147	NA	promoter-TSS (AT1G68440.1)	promoter-TSS (AT1G68440.1)	-253	AT1G68440	843173	At.20172	NM_105515		AT1G68440	T2E12.1|T2E12_1	hypothetical protein	protein-coding
R-74	Chr1	1587799	1588389	+	32,4167	NA	promoter-TSS (AT1G05410.2)	promoter-TSS (AT1G05410.2)	-316	AT1G05410	837042	At.66904	NM_001035897		AT1G05410	T25N20.6|T25N20_6	hypothetical protein	protein-coding
R-740	Chr1	11620147	11620592	+	10,9147	NA	Intergenic	Intergenic	8251	AT1G32230	840115	At.10171	NM_001160916		RCD1	ARABIDOPSIS THALIANA P8 (INTERACTING PROTEIN)|ATP8|CEO|CEO1|F3C3.1|F3C3_1|RADICAL-INDUCED CELL DEATH1	WWE protein-protein interaction domain family protein	protein-coding
R-742	Chr5	24886941	24887363	+	10,9147	NA	Intergenic	Intergenic	-1465	AT5G61970	836318	At.20648	NM_125590		AT5G61970	K22G18.11|K22G18_11	signal recognition particle subunit SRP68	protein-coding
R-743	Chr5	4991313	4991436	+	10,9147	NA	promoter-TSS (AT5G15380.1)	promoter-TSS (AT5G15380.1)	27	AT5G15380	831390	At.50458	NM_121542		DRM1	F8M21.270|F8M21_270|domains rearranged methylase 1	DNA (cytosine-5)-methyltransferase DRM1	protein-coding
R-744	Chr4	10060233	10060537	+	10,9147	NA	promoter-TSS (AT4G18170.1)	promoter-TSS (AT4G18170.1)	-988	AT4G18170	827542	At.27349	NM_117927		WRKY28	ATWRKY28|T9A21.10|T9A21_10|WRKY DNA-binding protein 28	WRKY DNA-binding protein 28	protein-coding
R-746	Chr3	19936202	19936674	+	10,9147	NA	Intergenic	Intergenic	-1204	AT3G53810	824548	At.35158	NM_115241		AT3G53810	-	concanavalin A-like lectin kinase-like protein	protein-coding
R-747	Chr2	17505802	17506021	+	10,9147	NA	Intergenic	Intergenic	-1598	AT2G41940	818794	At.20402	NM_129758		ZFP8	T6D20.16|T6D20_16|ZINC FINGER PROTEIN8|zinc finger protein 8	zinc finger protein 8	protein-coding
R-748	Chr2	13489810	13490393	+	10,9147	NA	promoter-TSS (AT2G31730.1)	promoter-TSS (AT2G31730.1)	-422	AT2G31730	817730	At.38180	NM_128731		AT2G31730	T9H9.27	basic helix-loop-helix domain-containing protein	protein-coding
R-749	Chr2	12967342	12967569	+	10,9147	NA	promoter-TSS (AT2G30430.1)	promoter-TSS (AT2G30430.1)	-721	AT2G30430	817594	At.66279	NM_128596		AT2G30430	T6B20.26|T6B20_26	hypothetical protein	protein-coding
R-750	Chr4	5640379	5640784	+	10,9038	NA	promoter-TSS (AT4G08850.2)	promoter-TSS (AT4G08850.2)	55	AT4G08850	826456	At.67694	NM_116955		AT4G08850	T32A17.160|T32A17_160	Leucine-rich repeat-containing protein	protein-coding
R-751	Chr5	26876455	26876850	+	10,8929	NA	TTS (AT5G67370.1)	TTS (AT5G67370.1)	-2073	AT5G67360	836871	At.71531	NM_126136		ARA12	K8K14.8|K8K14_8	subtilisin-like protease	protein-coding
R-753	Chr1	29890311	29890620	+	10,8601	NA	promoter-TSS (AT1G79460.1)	promoter-TSS (AT1G79460.1)	73	AT1G79460	844284	At.10784	NM_106594		GA2	ARABIDOPSIS THALIANA ENT-KAURENE SYNTHASE|ARABIDOPSIS THALIANA ENT-KAURENE SYNTHASE 1|ATKS|ATKS1|ENT-KAURENE SYNTHASE|ENT-KAURENE SYNTHASE 1|GA REQUIRING 2|KS|KS1|T8K14.12|T8K14_12	Ent-kaur-16-ene synthase	protein-coding
R-754	Chr1	7732191	7732550	+	10,8492	NA	promoter-TSS (AT1G21975.1)	promoter-TSS (AT1G21975.1)	90	AT1G21975	6240595	At.73870	NM_001123855		AT1G21975	-	hypothetical protein	protein-coding
R-755	Chr3	4548437	4548613	+	10,8383	NA	Intergenic	Intergenic	-1091	AT3G13820	820594	At.51216	NM_112235		AT3G13820	-	F-box protein	protein-coding
R-756	Chr1	7898122	7898258	+	10,8274	NA	promoter-TSS (AT1G22360.1)	promoter-TSS (AT1G22360.1)	-599	AT1G22360	838843	At.21323	NM_001036001		UGT85A2	AtUGT85A2|UDP-glucosyl transferase 85A2	UDP-glucosyl transferase 85A2	protein-coding
R-757	Chr5	8773332	8773708	+	10,8274	NA	promoter-TSS (AT5G25280.1)	promoter-TSS (AT5G25280.1)	-269	AT5G25280	832600	At.67279	NM_122437		AT5G25280	F18G18.20|F18G18_20	serine-rich protein-like protein	protein-coding
R-758	Chr5	910310	910454	+	10,8274	NA	TTS (AT5G03590.1)	TTS (AT5G03590.1)	1819	AT5G03590	831783	At.54708	NM_120440		AT5G03590	F17C15.10|F17C15_10	GDSL esterase/lipase	protein-coding
R-760	Chr5	2612850	2613013	+	10,8056	NA	Intergenic	Intergenic	-2681	AT5G08130	830708	At.67940	NM_001125718		BIM1	T22D6.70|T22D6_70	transcription factor BIM1	protein-coding
R-761	Chr4	10078083	10078706	+	10,7837	NA	promoter-TSS (AT4G18220.1)	promoter-TSS (AT4G18220.1)	-374	AT4G18220	827548	At.54388	NM_117932		AT4G18220	T9A21.70|T9A21_70	putative purine permease 9	protein-coding
R-764	Chr4	1514580	1515069	+	10,7401	NA	TTS (AT4G03420.1)	TTS (AT4G03420.1)	2985	AT4G03420	827928	At.19892	NM_116580		AT4G03420	F9H3.4|F9H3_4	hypothetical protein	protein-coding
R-765	Chr2	18625681	18626345	+	10,7401	NA	promoter-TSS (AT2G45180.1)	promoter-TSS (AT2G45180.1)	-307	AT2G45180	819126	At.43238	NM_130081		AT2G45180	F4L23.31	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein	protein-coding
R-767	Chr1	22869074	22869457	+	10,7073	NA	intron (AT1G61890.1, intron 2 of 6)	intron (AT1G61890.1, intron 2 of 6)	2015	AT1G61890	842485	At.67935	NM_104870		AT1G61890	F8K4.9|F8K4_9	MATE efflux family protein	protein-coding
R-769	Chr5	3192053	3192292	+	10,6527	NA	promoter-TSS (AT5G10180.1)	promoter-TSS (AT5G10180.1)	-972	AT5G10180	830882	At.25140	NM_121056		SULTR2;1	ARABIDOPSIS SULFATE TRANSPORTER 68|AST68|slufate transporter 2;1	sulfate transporter 2.1	protein-coding
R-770	Chr1	21228037	21228594	+	10,6418	NA	Intergenic	Intergenic	-1372	AT1G56630	842118	At.52237	NM_104540		AT1G56630	F25P12.93|F25P12_93	lipase class 3-like protein	protein-coding
R-771	Chr5	24990547	24990775	+	10,6418	NA	promoter-TSS (AT5G62220.1)	promoter-TSS (AT5G62220.1)	-652	AT5G62220	836343	At.29063	NM_125616		GT18	ATGT18|MMI9.5|MMI9_5|glycosyltransferase 18	glycosyltransferase 18	protein-coding
R-772	Chr3	19935463	19935623	+	10,6418	NA	promoter-TSS (AT3G53810.1)	promoter-TSS (AT3G53810.1)	-309	AT3G53810	824548	At.35158	NM_115241		AT3G53810	-	concanavalin A-like lectin kinase-like protein	protein-coding
R-773	Chr1	11763519	11763789	+	10,6309	NA	Intergenic	Intergenic	-1047	AT1G32530	840147	At.40122	NM_102988		AT1G32530	F5D14.34	MND1-interacting protein 1	protein-coding
R-774	Chr3	16524222	16524584	+	10,6309	NA	Intergenic	Intergenic	-1007	AT3G45140	823650	At.75027	NM_114383		LOX2	ARABIODOPSIS THALIANA LIPOXYGENASE 2|ATLOX2|lipoxygenase 2	lipoxygenase 2	protein-coding
R-775	Chr5	7251572	7252255	+	10,62	NA	Intergenic	Intergenic	-1374	AT5G21940	832254	At.21428	NM_147877		AT5G21940	-	hypothetical protein	protein-coding
R-777	Chr5	5382951	5383122	+	10,6091	NA	promoter-TSS (AT5G16480.1)	promoter-TSS (AT5G16480.1)	-139	AT5G16480	831509	At.31671	NM_121653		AT5G16480	MQK4.21|MQK4_21	tyrosine specific protein phosphatase family protein	protein-coding
R-778	Chr5	26853668	26854083	+	10,5982	NA	promoter-TSS (AT5G67300.1)	promoter-TSS (AT5G67300.1)	-147	AT5G67300	836865	At.71916	NM_126130		MYBR1	ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 44|ATMYB44|ATMYBR1|MYB44|myb domain protein r1	transcription factor MYB44	protein-coding
R-779	Chr1	8533022	8533485	+	10,5873	NA	TTS (AT1G24130.1)	TTS (AT1G24130.1)	-1041	AT1G24120	839024	At.41480	NM_102258		ARL1	ARG1-like 1|F3I6.4|F3I6_4	chaperone protein dnaJ 16	protein-coding
